winStart(sec): 680, winEnd(sec): 745, packCount: 215 , mostActC: 21, S-SA: 2, avSize: 277.734884, avTimeMostAct: 0.020606, F-S: 9 , susComb: 0 
winStart(sec): 690, winEnd(sec): 755, packCount: 203 , mostActC: 22, S-SA: 2, avSize: 288.807882, avTimeMostAct: 2.712057, F-S: 7 , susComb: 0 
winStart(sec): 700, winEnd(sec): 765, packCount: 126 , mostActC: 18, S-SA: 1, avSize: 249.428571, avTimeMostAct: 0.051735, F-S: -2 , susComb: 0 
winStart(sec): 710, winEnd(sec): 775, packCount: 129 , mostActC: 18, S-SA: 1, avSize: 240.232558, avTimeMostAct: 0.051735, F-S: -2 , susComb: 0 
winStart(sec): 720, winEnd(sec): 785, packCount: 154 , mostActC: 18, S-SA: 1, avSize: 222.694805, avTimeMostAct: 3.319567, F-S: -3 , susComb: 0 
winStart(sec): 730, winEnd(sec): 795, packCount: 145 , mostActC: 18, S-SA: 0, avSize: 236.262069, avTimeMostAct: 0.051735, F-S: -2 , susComb: 0 
winStart(sec): 740, winEnd(sec): 805, packCount: 152 , mostActC: 18, S-SA: 0, avSize: 236.513158, avTimeMostAct: 0.051735, F-S: -1 , susComb: 0 
winStart(sec): 750, winEnd(sec): 815, packCount: 162 , mostActC: 18, S-SA: 0, avSize: 236.919753, avTimeMostAct: 0.051735, F-S: -1 , susComb: 0 
winStart(sec): 760, winEnd(sec): 825, packCount: 178 , mostActC: 24, S-SA: 1, avSize: 227.353933, avTimeMostAct: 2.504511, F-S: 0 , susComb: 0 
winStart(sec): 770, winEnd(sec): 835, packCount: 142 , mostActC: 16, S-SA: 1, avSize: 232.514085, avTimeMostAct: 2.851863, F-S: 1 , susComb: 0 
winStart(sec): 780, winEnd(sec): 845, packCount: 122 , mostActC: 13, S-SA: 1, avSize: 219.295082, avTimeMostAct: 4.313383, F-S: 1 , susComb: 0 
winStart(sec): 790, winEnd(sec): 855, packCount: 112 , mostActC: 16, S-SA: 1, avSize: 201.776786, avTimeMostAct: 2.707117, F-S: 4 , susComb: 0 
winStart(sec): 800, winEnd(sec): 865, packCount: 156 , mostActC: 22, S-SA: 1, avSize: 202.038462, avTimeMostAct: 2.721276, F-S: 2 , susComb: 0 
winStart(sec): 810, winEnd(sec): 875, packCount: 154 , mostActC: 22, S-SA: 1, avSize: 198.298701, avTimeMostAct: 0.174602, F-S: 3 , susComb: 0 
winStart(sec): 820, winEnd(sec): 885, packCount: 134 , mostActC: 22, S-SA: 0, avSize: 182.873134, avTimeMostAct: 0.174602, F-S: 4 , susComb: 0 
winStart(sec): 830, winEnd(sec): 895, packCount: 123 , mostActC: 22, S-SA: 0, avSize: 175.894309, avTimeMostAct: 2.720869, F-S: 2 , susComb: 0 
winStart(sec): 840, winEnd(sec): 905, packCount: 240 , mostActC: 26, S-SA: 0, avSize: 255.666667, avTimeMostAct: 2.093586, F-S: 7 , susComb: 0 
winStart(sec): 850, winEnd(sec): 915, packCount: 361 , mostActC: 54, S-SA: 0, avSize: 333.811634, avTimeMostAct: 0.215647, F-S: 6 , susComb: 0 
winStart(sec): 860, winEnd(sec): 925, packCount: 371 , mostActC: 55, S-SA: 1, avSize: 329.938005, avTimeMostAct: 0.357654, F-S: 5 , susComb: 0 
winStart(sec): 870, winEnd(sec): 935, packCount: 450 , mostActC: 66, S-SA: 1, avSize: 367.222222, avTimeMostAct: 0.456689, F-S: 12 , susComb: 0 
winStart(sec): 880, winEnd(sec): 945, packCount: 456 , mostActC: 67, S-SA: 1, avSize: 366.127193, avTimeMostAct: 0.570518, F-S: 12 , susComb: 0 
winStart(sec): 890, winEnd(sec): 955, packCount: 456 , mostActC: 69, S-SA: 1, avSize: 369.701754, avTimeMostAct: 0.675855, F-S: 12 , susComb: 0 
winStart(sec): 900, winEnd(sec): 965, packCount: 500 , mostActC: 71, S-SA: 0, avSize: 350.800000, avTimeMostAct: 0.892383, F-S: 14 , susComb: 0 
winStart(sec): 910, winEnd(sec): 975, packCount: 493 , mostActC: 66, S-SA: 1, avSize: 333.020284, avTimeMostAct: 0.867956, F-S: 14 , susComb: 0 
winStart(sec): 920, winEnd(sec): 985, packCount: 378 , mostActC: 50, S-SA: 0, avSize: 296.306878, avTimeMostAct: 0.758186, F-S: 13 , susComb: 0 
winStart(sec): 930, winEnd(sec): 995, packCount: 377 , mostActC: 50, S-SA: 0, avSize: 308.103448, avTimeMostAct: 0.758186, F-S: 11 , susComb: 0 
winStart(sec): 940, winEnd(sec): 1005, packCount: 262 , mostActC: 30, S-SA: 0, avSize: 247.503817, avTimeMostAct: 0.009934, F-S: 6 , susComb: 0 
winStart(sec): 950, winEnd(sec): 1015, packCount: 261 , mostActC: 30, S-SA: 0, avSize: 243.555556, avTimeMostAct: 0.009934, F-S: 6 , susComb: 0 
winStart(sec): 960, winEnd(sec): 1025, packCount: 260 , mostActC: 30, S-SA: 0, avSize: 249.696154, avTimeMostAct: 0.009934, F-S: 6 , susComb: 0 
winStart(sec): 970, winEnd(sec): 1035, packCount: 98 , mostActC: 19, S-SA: 0, avSize: 274.377551, avTimeMostAct: 3.171194, F-S: 0 , susComb: 0 
winStart(sec): 980, winEnd(sec): 1045, packCount: 88 , mostActC: 16, S-SA: 0, avSize: 284.670455, avTimeMostAct: 2.740751, F-S: 0 , susComb: 0 
winStart(sec): 990, winEnd(sec): 1055, packCount: 82 , mostActC: 16, S-SA: 0, avSize: 227.097561, avTimeMostAct: 2.740751, F-S: 0 , susComb: 0 
winStart(sec): 1000, winEnd(sec): 1065, packCount: 93 , mostActC: 22, S-SA: 0, avSize: 224.268817, avTimeMostAct: 2.739042, F-S: 0 , susComb: 0 
winStart(sec): 1010, winEnd(sec): 1075, packCount: 85 , mostActC: 19, S-SA: 0, avSize: 210.105882, avTimeMostAct: 3.290482, F-S: 0 , susComb: 0 
winStart(sec): 1020, winEnd(sec): 1085, packCount: 94 , mostActC: 22, S-SA: 6, avSize: 177.329787, avTimeMostAct: 2.571395, F-S: -6 , susComb: 0 
winStart(sec): 1030, winEnd(sec): 1095, packCount: 133 , mostActC: 23, S-SA: 15, avSize: 191.007519, avTimeMostAct: 2.467318, F-S: -14 , susComb: 0 
winStart(sec): 1040, winEnd(sec): 1105, packCount: 148 , mostActC: 21, S-SA: 29, avSize: 166.986486, avTimeMostAct: 2.216208, F-S: -28 , susComb: 0 
winStart(sec): 1050, winEnd(sec): 1115, packCount: 186 , mostActC: 33, S-SA: 47, avSize: 145.758065, avTimeMostAct: 0.629168, F-S: -46 , susComb: 0 
winStart(sec): 1060, winEnd(sec): 1125, packCount: 226 , mostActC: 51, S-SA: 67, avSize: 131.358407, avTimeMostAct: 0.621483, F-S: -66 , susComb: 0 
winStart(sec): 1070, winEnd(sec): 1135, packCount: 272 , mostActC: 62, S-SA: 78, avSize: 123.805147, avTimeMostAct: 0.646003, F-S: -76 , susComb: 0 
winStart(sec): 1080, winEnd(sec): 1145, packCount: 339 , mostActC: 68, S-SA: 80, avSize: 125.849558, avTimeMostAct: 0.727183, F-S: -76 , susComb: 0 
