 sAddr: 212.193.209.129 , sec: 29, usec: 244167, size: 73, flag: 0 
 sAddr: 212.193.209.129 , sec: 29, usec: 259964, size: 73, flag: 0 
 sAddr: 195.208.252.1 , sec: 29, usec: 260513, size: 189, flag: 0 
 sAddr: 212.193.209.129 , sec: 29, usec: 260603, size: 78, flag: 1 
 sAddr: 213.169.64.189 , sec: 29, usec: 294749, size: 1514, flag: 0 
 sAddr: 212.193.209.129 , sec: 29, usec: 294786, size: 66, flag: 0 
 sAddr: 195.208.252.1 , sec: 29, usec: 296036, size: 167, flag: 0 
 sAddr: 212.193.209.129 , sec: 29, usec: 309953, size: 82, flag: 0 
 sAddr: 195.208.252.1 , sec: 29, usec: 311394, size: 174, flag: 0 
 sAddr: 212.193.209.129 , sec: 29, usec: 319334, size: 73, flag: 0 
 sAddr: 195.208.252.1 , sec: 29, usec: 319977, size: 225, flag: 0 
 sAddr: 81.222.128.11 , sec: 29, usec: 320113, size: 74, flag: 2 
 sAddr: 212.193.209.129 , sec: 29, usec: 320148, size: 66, flag: 0 
 sAddr: 212.193.209.129 , sec: 29, usec: 320324, size: 718, flag: 0 
 sAddr: 212.193.209.129 , sec: 29, usec: 346401, size: 78, flag: 1 
 sAddr: 213.169.64.189 , sec: 29, usec: 350755, size: 1334, flag: 0 
 sAddr: 212.193.209.129 , sec: 29, usec: 350800, size: 66, flag: 0 
 sAddr: 212.193.209.129 , sec: 29, usec: 351154, size: 66, flag: 7 
 sAddr: 212.193.209.129 , sec: 29, usec: 351882, size: 73, flag: 0 
 sAddr: 195.208.252.1 , sec: 29, usec: 352369, size: 167, flag: 0 
 sAddr: 212.193.209.129 , sec: 29, usec: 352468, size: 78, flag: 1 
 sAddr: 81.222.128.11 , sec: 29, usec: 372137, size: 66, flag: 0 
 sAddr: 212.193.209.129 , sec: 29, usec: 387556, size: 74, flag: 0 
 sAddr: 195.208.252.1 , sec: 29, usec: 388140, size: 217, flag: 0 
 sAddr: 212.193.209.129 , sec: 29, usec: 392472, size: 73, flag: 0 
 sAddr: 195.208.252.1 , sec: 29, usec: 393098, size: 225, flag: 0 
 sAddr: 212.193.209.129 , sec: 29, usec: 393193, size: 78, flag: 1 
 sAddr: 213.248.62.170 , sec: 29, usec: 393688, size: 78, flag: 2 
 sAddr: 212.193.209.129 , sec: 29, usec: 393732, size: 66, flag: 0 
 sAddr: 212.193.209.129 , sec: 29, usec: 393891, size: 570, flag: 0 
 sAddr: 212.193.209.129 , sec: 29, usec: 397126, size: 82, flag: 0 
 sAddr: 195.208.252.1 , sec: 29, usec: 397577, size: 174, flag: 0 
 sAddr: 212.193.209.129 , sec: 29, usec: 397664, size: 78, flag: 1 
 sAddr: 89.108.65.158 , sec: 29, usec: 407932, size: 74, flag: 2 
 sAddr: 212.193.209.129 , sec: 29, usec: 407969, size: 66, flag: 0 
 sAddr: 212.193.209.129 , sec: 29, usec: 408133, size: 655, flag: 0 
 sAddr: 212.193.209.129 , sec: 29, usec: 420130, size: 74, flag: 0 
 sAddr: 195.208.252.1 , sec: 29, usec: 420598, size: 217, flag: 0 
 sAddr: 212.193.209.129 , sec: 29, usec: 420686, size: 78, flag: 1 
 sAddr: 81.222.128.11 , sec: 29, usec: 434911, size: 812, flag: 0 
 sAddr: 81.222.128.11 , sec: 29, usec: 434917, size: 66, flag: 7 
 sAddr: 212.193.209.129 , sec: 29, usec: 434958, size: 66, flag: 0 
 sAddr: 212.193.209.129 , sec: 29, usec: 435439, size: 66, flag: 7 
 sAddr: 213.180.204.11 , sec: 29, usec: 452469, size: 60, flag: 2 
 sAddr: 212.193.209.129 , sec: 29, usec: 452510, size: 54, flag: 0 
 sAddr: 212.193.209.129 , sec: 29, usec: 452702, size: 711, flag: 0 
 sAddr: 213.248.62.170 , sec: 29, usec: 456374, size: 1514, flag: 0 
 sAddr: 213.248.62.170 , sec: 29, usec: 456424, size: 790, flag: 0 
 sAddr: 213.248.62.170 , sec: 29, usec: 456430, size: 66, flag: 7 
 sAddr: 212.193.209.129 , sec: 29, usec: 456460, size: 66, flag: 0 
 sAddr: 212.193.209.129 , sec: 29, usec: 456485, size: 66, flag: 0 
 sAddr: 212.193.209.129 , sec: 29, usec: 456935, size: 66, flag: 7 
 sAddr: 89.108.65.158 , sec: 29, usec: 462714, size: 66, flag: 0 
 sAddr: 89.108.65.158 , sec: 29, usec: 463409, size: 66, flag: 0 
 sAddr: 89.108.65.158 , sec: 29, usec: 467767, size: 1514, flag: 0 
 sAddr: 89.108.65.158 , sec: 29, usec: 467772, size: 182, flag: 0 
 sAddr: 89.108.65.158 , sec: 29, usec: 467780, size: 66, flag: 7 
 sAddr: 212.193.209.129 , sec: 29, usec: 467819, size: 66, flag: 0 
 sAddr: 212.193.209.129 , sec: 29, usec: 467844, size: 66, flag: 0 
 sAddr: 212.193.209.129 , sec: 29, usec: 468060, size: 66, flag: 7 
 sAddr: 217.16.31.122 , sec: 29, usec: 476305, size: 74, flag: 2 
 sAddr: 212.193.209.129 , sec: 29, usec: 476352, size: 66, flag: 0 
